School,Position,question,response,n
ESHPM,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,2
ESHPM,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,2
ESHPM,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,8
ESHPM,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,5
ESHPM,Assistant Professor,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,2
ESHPM,Assistant Professor,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,4
ESHPM,Assistant Professor,In what way do you expect to be recognized and rewarded?,"Other_To be honest, sharing data & methods is just a part of the publication cycle, no need for it to be rewarded separately",1
ESHPM,Assistant Professor,In what way do you expect to be recognized and rewarded?,Praise by my colleagues/supervisor/manager,1
ESHPM,Assistant Professor,In what way do you expect to be recognized and rewarded?,NA,9
ESHPM,Assistant Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,3
ESHPM,Assistant Professor,In what way were you recognized and rewarded?,Other_OA publications are recognized as relevant output,1
ESHPM,Assistant Professor,In what way were you recognized and rewarded?,Trust from my colleagues/supervisor/manager,1
ESHPM,Assistant Professor,In what way were you recognized and rewarded?,NA,12
ESHPM,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,2
ESHPM,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,3
ESHPM,Associate Professor,In what way do you expect to be recognized and rewarded?,NA,5
ESHPM,Associate Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,3
ESHPM,Associate Professor,In what way were you recognized and rewarded?,NA,2
ESHPM,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ESHPM,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,2
ESHPM,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,1
ESHPM,Full Professor,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,1
ESHPM,Full Professor,In what way do you expect to be recognized and rewarded?,Other_I don't expect the eur to award,1
ESHPM,Full Professor,In what way do you expect to be recognized and rewarded?,NA,2
ESHPM,Full Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESHPM,Full Professor,In what way were you recognized and rewarded?,NA,3
ESHPM,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,4
ESHPM,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,4
ESHPM,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,2
ESHPM,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,2
ESHPM,PhD candidate,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESHPM,PhD candidate,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,1
ESHPM,PhD candidate,In what way do you expect to be recognized and rewarded?,NA,10
ESHPM,PhD candidate,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESHPM,PhD candidate,In what way were you recognized and rewarded?,Trust from my colleagues/supervisor/manager,1
ESHPM,PhD candidate,In what way were you recognized and rewarded?,NA,10
ESHPM,Postdoc or researcher,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,1
ESHPM,Postdoc or researcher,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ESHPM,Postdoc or researcher,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,2
ESHPM,Postdoc or researcher,In what way do you expect to be recognized and rewarded?,NA,4
ESHPM,Postdoc or researcher,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,2
ESHPM,Postdoc or researcher,In what way were you recognized and rewarded?,NA,2
ESHCC,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ESHCC,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,1
ESHCC,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,1
ESHCC,Assistant Professor,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,1
ESHCC,Assistant Professor,In what way do you expect to be recognized and rewarded?,NA,2
ESHCC,Assistant Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESHCC,Assistant Professor,In what way were you recognized and rewarded?,NA,2
ESHCC,Other,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ESHCC,Other,In what way do you expect to be recognized and rewarded?,NA,1
ESHCC,Other,In what way were you recognized and rewarded?,NA,1
ESHCC,Lecturer,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ESHCC,Lecturer,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,1
ESHCC,Lecturer,In what way do you expect to be recognized and rewarded?,Receive a promotion,1
ESHCC,Lecturer,In what way do you expect to be recognized and rewarded?,NA,1
ESHCC,Lecturer,In what way were you recognized and rewarded?,NA,2
ESHCC,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ESHCC,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,1
ESHCC,PhD candidate,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESHCC,PhD candidate,In what way do you expect to be recognized and rewarded?,NA,1
ESHCC,PhD candidate,In what way were you recognized and rewarded?,NA,2
ESL,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,2
ESL,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,1
ESL,Assistant Professor,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESL,Assistant Professor,In what way do you expect to be recognized and rewarded?,NA,2
ESL,Assistant Professor,In what way were you recognized and rewarded?,NA,3
ESL,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,1
ESL,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,2
ESL,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,2
ESL,Associate Professor,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,2
ESL,Associate Professor,In what way do you expect to be recognized and rewarded?,NA,3
ESL,Associate Professor,In what way were you recognized and rewarded?,NA,5
ESL,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,2
ESL,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,4
ESL,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,4
ESL,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,2
ESL,Full Professor,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,2
ESL,Full Professor,In what way do you expect to be recognized and rewarded?,"Other_I do not really expect specific recognition or reward for 'open work', and indeed that recognition and reward is not present",1
ESL,Full Professor,In what way do you expect to be recognized and rewarded?,Receive a salary raise,1
ESL,Full Professor,In what way do you expect to be recognized and rewarded?,NA,8
ESL,Full Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,2
ESL,Full Professor,In what way were you recognized and rewarded?,NA,10
ESL,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,5
ESL,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,2
ESL,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,1
ESL,PhD candidate,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESL,PhD candidate,In what way do you expect to be recognized and rewarded?,NA,7
ESL,PhD candidate,In what way were you recognized and rewarded?,NA,8
ESPhil,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ESPhil,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,1
ESPhil,Associate Professor,In what way do you expect to be recognized and rewarded?,NA,2
ESPhil,Associate Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESPhil,Associate Professor,In what way were you recognized and rewarded?,NA,1
ESPhil,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,1
ESPhil,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ESPhil,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,1
ESPhil,Full Professor,In what way do you expect to be recognized and rewarded?,NA,3
ESPhil,Full Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESPhil,Full Professor,In what way were you recognized and rewarded?,NA,2
ESPhil,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,1
ESPhil,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,4
ESPhil,PhD candidate,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,3
ESPhil,PhD candidate,In what way do you expect to be recognized and rewarded?,Other_Value not just 'hard' academic output but also societal engagement,1
ESPhil,PhD candidate,In what way do you expect to be recognized and rewarded?,NA,1
ESPhil,PhD candidate,In what way were you recognized and rewarded?,NA,5
ESSB,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,1
ESSB,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,4
ESSB,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,6
ESSB,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,2
ESSB,Assistant Professor,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,2
ESSB,Assistant Professor,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,2
ESSB,Assistant Professor,In what way do you expect to be recognized and rewarded?,"Other_If this is important, it should be recognized and rewarded. I don't really care how, but now there is no attention for these practices whatsoever.",1
ESSB,Assistant Professor,In what way do you expect to be recognized and rewarded?,Other_should be 'counted' just like articles. Especially given that data gets its own DOI,1
ESSB,Assistant Professor,In what way do you expect to be recognized and rewarded?,NA,7
ESSB,Assistant Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,1
ESSB,Assistant Professor,In what way were you recognized and rewarded?,Praised by my colleagues/supervisor/manager,1
ESSB,Assistant Professor,In what way were you recognized and rewarded?,NA,11
ESSB,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,2
ESSB,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,1
ESSB,Associate Professor,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,1
ESSB,Associate Professor,In what way do you expect to be recognized and rewarded?,Praise by my colleagues/supervisor/manager,1
ESSB,Associate Professor,In what way do you expect to be recognized and rewarded?,NA,1
ESSB,Associate Professor,In what way were you recognized and rewarded?,Trust from my colleagues/supervisor/manager,1
ESSB,Associate Professor,In what way were you recognized and rewarded?,NA,2
ESSB,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,2
ESSB,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,4
ESSB,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,4
ESSB,Full Professor,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,3
ESSB,Full Professor,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,1
ESSB,Full Professor,In what way do you expect to be recognized and rewarded?,NA,6
ESSB,Full Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,2
ESSB,Full Professor,In what way were you recognized and rewarded?,Praised by my colleagues/supervisor/manager,2
ESSB,Full Professor,In what way were you recognized and rewarded?,NA,6
ESSB,Other,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,3
ESSB,Other,In what way do you expect to be recognized and rewarded?,NA,3
ESSB,Other,In what way were you recognized and rewarded?,NA,3
ESSB,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,1
ESSB,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,4
ESSB,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,6
ESSB,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,3
ESSB,PhD candidate,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,3
ESSB,PhD candidate,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,2
ESSB,PhD candidate,In what way do you expect to be recognized and rewarded?,Trust from my colleagues/supervisor/manager,1
ESSB,PhD candidate,In what way do you expect to be recognized and rewarded?,NA,8
ESSB,PhD candidate,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,2
ESSB,PhD candidate,In what way were you recognized and rewarded?,Trust from my colleagues/supervisor/manager,1
ESSB,PhD candidate,In what way were you recognized and rewarded?,NA,11
ESSB,Postdoc or researcher,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,2
ESSB,Postdoc or researcher,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,3
ESSB,Postdoc or researcher,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,2
ESSB,Postdoc or researcher,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,2
ESSB,Postdoc or researcher,In what way do you expect to be recognized and rewarded?,Praise by my colleagues/supervisor/manager,1
ESSB,Postdoc or researcher,In what way do you expect to be recognized and rewarded?,NA,4
ESSB,Postdoc or researcher,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,2
ESSB,Postdoc or researcher,In what way were you recognized and rewarded?,NA,5
ISS,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,2
ISS,Assistant Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,1
ISS,Assistant Professor,In what way do you expect to be recognized and rewarded?,Receive a salary raise,1
ISS,Assistant Professor,In what way do you expect to be recognized and rewarded?,NA,2
ISS,Assistant Professor,In what way were you recognized and rewarded?,NA,3
ISS,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,1
ISS,Associate Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,1
ISS,Associate Professor,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,1
ISS,Associate Professor,In what way do you expect to be recognized and rewarded?,NA,1
ISS,Associate Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,1
ISS,Associate Professor,In what way were you recognized and rewarded?,NA,1
ISS,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ISS,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,3
ISS,Full Professor,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,2
ISS,Full Professor,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,1
ISS,Full Professor,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,1
ISS,Full Professor,In what way do you expect to be recognized and rewarded?,Receive a promotion,1
ISS,Full Professor,In what way do you expect to be recognized and rewarded?,NA,3
ISS,Full Professor,In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,1
ISS,Full Professor,In what way were you recognized and rewarded?,Praised by my colleagues/supervisor/manager,1
ISS,Full Professor,In what way were you recognized and rewarded?,NA,4
ISS,Other,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,1
ISS,Other,In what way do you expect to be recognized and rewarded?,NA,1
ISS,Other,In what way were you recognized and rewarded?,NA,1
ISS,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,2
ISS,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
ISS,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,2
ISS,PhD candidate,In what way do you expect to be recognized and rewarded?,NA,5
ISS,PhD candidate,In what way were you recognized and rewarded?,Other_Republication of my community outreach articles,1
ISS,PhD candidate,In what way were you recognized and rewarded?,Trust from my colleagues/supervisor/manager,1
ISS,PhD candidate,In what way were you recognized and rewarded?,NA,3
Other,Other,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
Other,Other,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,1
Other,Other,In what way do you expect to be recognized and rewarded?,"Other_None, it should become common practice",1
Other,Other,In what way do you expect to be recognized and rewarded?,NA,1
Other,Other,In what way were you recognized and rewarded?,NA,2
Other,Lecturer,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,1
Other,Lecturer,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,1
Other,Lecturer,In what way were you recognized and rewarded?,NA,1
Other,PhD candidate,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,1
Other,PhD candidate,In what way do you expect to be recognized and rewarded?,NA,1
Other,PhD candidate,In what way were you recognized and rewarded?,NA,1
